Read_ID	QUERY_LEN	REF_LEN	sDTW score: fwd-strand	sDTW score: rev-strand
71	read_26635777-60b7-4541-a509-b58558805b2e	2048	48128	168.25	278.75
72	read_290c743d-4c41-4e9e-9006-13a28df55e6e	2048	48128	232.125	273.25
73	read_294f8c40-7a36-4ad7-ac94-2720485e662b	2048	48128	160.375	286.75
74	read_2a366cd7-f38b-4ac9-a016-2408d9b3eebe	2048	48128	143.5	297.75
75	read_2aa4ae15-0f16-4a36-ae57-60133c4c3e85	2048	48128	333	164
76	read_2b3cbf21-15a8-443f-90ef-cc36266371a0	2048	48128	289.5	182.5
77	read_2c81a923-d075-4d4b-9409-e458619d3f60	2048	48128	129.125	275.25
78	read_2cff9636-382b-487d-a1ce-30b471a3cb12	2048	48128	270.75	230.5
79	read_2d59dfbe-bee0-4886-94d4-17609e7ad280	2048	48128	304.5	239.75
80	read_2df0bddf-3ec8-492a-aef5-16e310c69dfb	2048	48128	256	225
81	read_2e5df374-a7f5-4add-bd57-c92d1a805076	2048	48128	246	272.5
82	read_2ebd5c2d-dc29-4c28-a227-55a465c42d88	2048	48128	187.375	299.25
83	read_2ecd6655-8dc4-4c1c-affc-1a64702e5b5d	2048	48128	293.75	162.125
84	read_2f36da8b-8461-4a44-84b2-01ce5d5ad1da	2048	48128	125.812	266.5
85	read_2f6ffb8b-8ead-446a-b743-937a6a14b18d	2048	48128	188	261.75
86	read_3014e6ff-7f8a-4b37-b19b-ae4596870fa7	2048	48128	241.375	248.5
87	read_30b51cff-85d6-45de-b248-be5d3e61c166	2048	48128	162.125	292
88	read_3179bd21-08ec-4a33-966d-d6d7c5fdb8c6	2048	48128	131.25	295.25
89	read_33185026-2231-4be9-82d6-4af41ff2f7e8	2048	48128	121.688	272.25
90	read_337ebd3d-c47d-4a95-8dc0-2164ddc5cdfc	2048	48128	112.375	271.5
91	read_3492c5cf-751a-423e-9bff-9197061eac10	2048	48128	294.75	213.5
92	read_349b6d34-8046-4e5e-b7a8-4c29eecdb1e0	2048	48128	318.75	224.625
93	read_34a4ec3a-14c7-4098-be5a-ad0c6e18e456	2048	48128	249.5	144.875
94	read_34b5fa67-3ebc-4fe3-9535-689a306ccc5f	2048	48128	273.5	149.625
95	read_35bc8564-4977-4792-bcc0-f50deb513b4c	2048	48128	289.75	114.938
96	read_37adedc6-5f03-486f-aa2a-128032210096	2048	48128	136.75	248.875
97	read_37c953c5-a17b-4efd-9c9d-afe7daf7d8c7	2048	48128	233.25	278
98	read_3875981b-dfe5-433a-b55a-4603dae1b5aa	2048	48128	119.875	244.125
99	read_3b0945dc-1ec8-4ec7-8d54-a4bc5690bdca	2048	48128	322.5	238.125
100	read_3e13b918-c51f-41e5-a095-307a615125c1	2048	48128	113.125	264.75
101	read_3e1798b3-5bb7-4056-87e7-b9070d39fd00	2048	48128	118.062	277.75
102	read_3e6c632b-d1b3-4399-af3d-ccfd36a04018	2048	48128	109.25	259.25
103	read_3f2e4aef-4bab-4b90-83f1-993070dae9cf	2048	48128	307.25	145.625
104	read_3fc1fcba-0ac2-4531-a49a-fdc38a31084e	2048	48128	92.5	248
105	read_4116272e-2e1f-4e03-84c9-1fbed693da32	2048	48128	277	132.875
106	read_41165a95-84dd-4810-90de-cd91d80488c5	2048	48128	298.5	146.375
107	read_419d124e-011f-4c7b-b408-f9822ad3f16b	2048	48128	309	117.875
108	read_4359f510-5767-4db2-be18-84c488bc0eea	2048	48128	266.75	178.875
109	read_44bed010-ffd1-40a4-8385-eb7914aa0543	2048	48128	169.75	282.75
110	read_45830acf-0014-4d37-84ad-2dbf829b9837	2048	48128	269.5	153.875
111	read_461a92a2-624f-48a7-b788-6329a196ff33	2048	48128	282.25	166
112	read_46965c79-5090-42aa-9cc5-dd6eaa23b210	2048	48128	239	199
113	read_4833dd44-cf0f-44ed-9aca-95ae9b22cba0	2048	48128	245.625	116.938
114	read_48729b39-ec3c-4b09-ae04-4aeff46e31c5	2048	48128	141.5	265
115	read_4945bbe2-9b02-4790-8fd2-317a6e61f474	2048	48128	255.5	129
116	read_498a85c3-5ee0-4f0c-ace7-dff2483e230b	2048	48128	305.5	173.25
117	read_49a44ab8-3fe5-4b4a-ad0c-0d33990375ab	2048	48128	294.5	111.188
118	read_49b0f053-7dcf-4198-a74b-39586623377f	2048	48128	245	235.5
119	read_4b8cb00e-1b1e-4da9-ae92-4a59b9c908f0	2048	48128	139.625	263
120	read_4b8f9b87-2b34-49a9-bc96-727e739ea074	2048	48128	276.75	133.125
121	read_4c125fde-89d1-4b3f-9033-36a9e1d6f64a	2048	48128	275	155.375
122	read_4c6f3b8a-0dfb-42bd-9fbf-984f64e72385	2048	48128	128	300.25
123	read_4d916209-f9a8-406d-97b2-d1c7ab7afb70	2048	48128	311.75	199.375
124	read_4f192359-0366-4700-8f4a-cf4811679106	2048	48128	290.25	112.938
125	read_4fa53a62-ad42-4eaf-ab7f-a2d9290fd53d	2048	48128	176.5	177.5
126	read_4fdc6fc9-9398-47b5-856f-9a9306d9acf7	2048	48128	305.5	175.625
127	read_50c9e03b-c92e-418e-9ba1-65d6ed43491c	2048	48128	175.25	287
128	read_51ad87b8-a15b-412e-8697-c202e8744bca	2048	48128	124.938	289.25
129	read_51e1e689-10cb-4970-9213-b11db2ec362c	2048	48128	118.438	271.75
130	read_521a5189-239b-4a87-84e7-94050142204c	2048	48128	346	421.5
131	read_522d46f2-d234-4ea7-ae1c-153ade446e25	2048	48128	137.375	264.75
132	read_52724bf1-c32f-49ed-ac0d-c2dabbe0565e	2048	48128	274.75	187
133	read_52a04b89-9842-4221-9a3c-05cd85a2239f	2048	48128	272.75	271
134	read_54e1ca36-fcdb-4c5a-a62b-e425a9166bc7	2048	48128	144.5	315.75
135	read_54e4c601-2405-4e02-9a5f-b9beead7e44c	2048	48128	257.5	289.25
136	read_54fcc820-5847-415a-9654-5edca4f3f375	2048	48128	301	204.125
137	read_5806e2ef-a31c-4ada-b29c-cdc8d9eb2169	2048	48128	200.125	284
138	read_5a533089-b6dc-4251-bbb9-111a93a5d970	2048	48128	188	284.5
139	read_5b7de83b-45f1-42e4-aac6-8e62fd8bcc10	2048	48128	118.312	282.25
140	read_5c67961b-679c-4f3a-9fb4-bd052a061a0b	2048	48128	262	253.125
141	read_5cda3fbd-56d3-493a-8379-9b8f2309c286	2048	48128	137.625	291.75
142	read_5e3e1aee-fb0d-4587-8668-e89dca6bcb40	2048	48128	144.375	286.5
143	read_5f9459d0-a07d-4888-bea8-40dade9c1882	2048	48128	261	111.25
144	read_600c99b9-7bdb-43e4-bbeb-52966107f05a	2048	48128	150.5	265.25
145	read_60e15b99-a0f6-4fe5-b14b-d9356dbd5d05	2048	48128	280	162.875
146	read_61ff66a6-2bf9-4ab5-a272-fdae4b7d1baa	2048	48128	146.625	159.125
147	read_621113b7-e55c-43bc-a4c0-6782434876c3	2048	48128	310.5	186.875
148	read_631bb86b-2cc9-4cf0-a411-93e28466f854	2048	48128	203.75	295.75
149	read_636c7ace-4811-4fd4-b1b5-54850bd1474d	2048	48128	268.75	211.875
150	read_6402adfa-0a63-4de7-9fb4-253445e7cb9b	2048	48128	370.75	300.25
151	read_6407deda-c1fe-488d-8920-d9437a41f65e	2048	48128	262.5	145.75
152	read_6489fe3d-bf49-4b97-b8f4-4efabb5d7589	2048	48128	308.25	152.125
153	read_66399069-d0d7-4a8a-bf2a-4c70b1209983	2048	48128	111.375	285.5
154	read_66848000-83b6-41c9-a3fe-db8485fd6019	2048	48128	307.25	165.75
155	read_67b1a39a-1b72-4bfd-8cf4-48bca6d911ec	2048	48128	310.25	156.375
156	read_68128cda-d214-49ba-a2ad-6abb24b275e1	2048	48128	267.25	157.75
157	read_6865b433-2aea-4a85-9d2c-ace3140db689	2048	48128	311.75	257.5
158	read_6911fd47-1d7f-4892-803e-65ac56a5277c	2048	48128	265.75	134.75
159	read_6a989691-b1d3-42c3-ba8b-144f26b0e0dd	2048	48128	221	220.625
160	read_6aa8a706-e67d-4dfb-99eb-a431552e0ce1	2048	48128	123.062	253.5
161	read_6ac576f6-7cfb-4ee3-8515-9383555be5a7	2048	48128	93.8125	307
162	read_6da2499e-6ec7-4ebe-a98a-cc36a6201faf	2048	48128	311.25	223.25
163	read_6e1636c2-2784-480a-af74-50d62fb81e07	2048	48128	188.25	285.5
164	read_6e1d8f12-f17d-441b-8e0d-9b1b938a5496	2048	48128	317.25	244.875
