Read_ID	QUERY_LEN	REF_LEN	sDTW score: fwd-strand	sDTW score: rev-strand
71	read_083bb2bb-91b1-4d21-81b2-3f5ab558e1bc	2048	48128	291.5	292.75
72	read_08c41598-6e12-4dac-9734-cbcd0b6de9f0	2048	48128	280.25	285.25
73	read_08f734bc-2ebc-4892-8350-c427d413ef4f	2048	48128	268.75	267
74	read_092f8bd1-cab8-49e8-a785-4eca7c6ca3d9	2048	48128	259.5	266.5
75	read_0946d4d7-5030-4a34-a4de-c92c4093b4c0	2048	48128	294	290.25
76	read_09969872-7654-4e66-9647-daa3e634b25d	2048	48128	257.5	267.5
77	read_09a176ab-967b-4c99-aac0-417ab15fd00f	2048	48128	279	285
78	read_09a4f967-80c0-4323-8669-e0e7bc7f1cf9	2048	48128	473	485
79	read_09ebc018-5939-4376-8bcd-f614a4277983	2048	48128	267.5	273.75
80	read_09fa104a-a115-474b-b277-14d7f404b7c9	2048	48128	303	301
81	read_0a07799f-56de-4a64-8680-5e09d822ab65	2048	48128	278.25	294
82	read_0a9f2aaa-c847-4a4e-83e3-d1891ba3c035	2048	48128	266.75	273
83	read_0aa8cb7a-6cad-4b6b-a763-4efa63057474	2048	48128	280.75	292
84	read_0ac93c5a-986d-4b6b-88e1-1908c6c0101e	2048	48128	245.625	258
85	read_0b3c6773-d400-490d-a76d-b546972cf1c6	2048	48128	286.75	296.5
86	read_0b5007c6-eba2-4728-b581-dbad32705ed0	2048	48128	273.5	283.5
87	read_0b5657f7-cd9c-44c9-a13c-c8e4fdca6bfa	2048	48128	271.25	281.75
88	read_0b660c5c-0a04-4610-aa28-0d9f206acde0	2048	48128	281.75	298
89	read_0b8077e3-bf63-4665-b48b-3376690660c0	2048	48128	227.125	244.625
90	read_0bb57238-2b5f-4471-8fb0-2d43cf15dd78	2048	48128	280.25	285.25
91	read_0bcdd761-72f9-478d-a365-7b0da1024948	2048	48128	256.25	264.5
92	read_0c06daa5-327b-4ed6-ae3e-40f187af39ec	2048	48128	271	286.25
93	read_0c7783b1-59a0-4848-8480-ebf0859d4930	2048	48128	260	275
94	read_0c8031a7-b1fe-43d9-b82d-9cad68bfdcc3	2048	48128	304.75	306.75
95	read_0c817d6f-2202-45bb-a51a-2412d0f042a0	2048	48128	284.25	288.5
96	read_0c92521e-12e7-4060-82c1-b0a6a895f2fa	2048	48128	300.5	292
97	read_0cef87b6-76f6-4e0e-addb-59d6de3f6dde	2048	48128	269.5	278.25
98	read_0d37ff90-d1fe-4925-9674-cabaa5eb8281	2048	48128	323.5	318.5
99	read_0d53bc9d-611d-4e38-a9c6-672bc5291dc9	2048	48128	276.25	264.75
100	read_0d82bdb2-5659-4718-b96d-2885db961a68	2048	48128	276.75	280.25
101	read_0dc65b9e-2e45-4dad-a6f3-ffcd5f7d249f	2048	48128	214.25	219.5
102	read_0dd17b43-3430-4569-bbbf-1f84a6ce3cf7	2048	48128	273.25	291.25
103	read_0e65a8ac-34bc-4277-9433-2c021b375ed1	2048	48128	238.375	250.625
104	read_0e887b93-ed64-4306-982e-12048ccc9383	2048	48128	252.75	267.75
105	read_0ec991e0-3920-41bc-bb05-aa0065bc9a9d	2048	48128	270.75	274.75
106	read_0ee91992-7c07-4565-84d2-6ebd03bf9830	2048	48128	285.25	298
107	read_0f14bdf3-8edb-4676-85c1-190b1c1fa9db	2048	48128	298	312.75
108	read_0f70b951-e93c-42ba-89eb-1a5d878024b6	2048	48128	311	317
109	read_0f7625b1-ceb1-4e2d-ac62-99f26e5b05a2	2048	48128	265.75	278.75
110	read_0f7a59db-2ce7-48cf-88fa-5f52f1019d6a	2048	48128	276.75	291.25
111	read_0fdf802b-13e3-4103-ade1-39240ed7755d	2048	48128	263.25	264
112	read_0fe49442-ffbc-4e04-b376-94b91e8fdafe	2048	48128	282.75	281.5
113	read_10050bbd-3b85-4d3c-8627-71db19eb444c	2048	48128	262	272.5
114	read_10a4498a-8fd1-46b5-8c9e-fbb28d601a40	2048	48128	281.75	286
115	read_10c26855-30aa-4cf0-b13a-39c60ec80265	2048	48128	256	269.75
116	read_10e5eba4-f6c9-4c0a-801e-c6e42163b54c	2048	48128	248.875	267.25
117	read_1124f853-5128-4f8c-a388-aed408e15d93	2048	48128	252.25	260
118	read_11489a6c-12af-45d7-87a4-20d720d1fcf2	2048	48128	246.75	260
119	read_11bd732c-3631-4c1c-a1e8-b781d36b175c	2048	48128	299.5	307.75
120	read_11bdc89a-18c6-4548-b5b2-e52fcc7b888d	2048	48128	309.25	316.75
121	read_11c53f78-e808-41ef-815f-f60d84c519b3	2048	48128	240.125	246.25
